table
wp_actionscheduler_actions
wp_actionscheduler_claims
wp_actionscheduler_groups
wp_actionscheduler_logs
wp_ajaxsearchpro
wp_ajaxsearchpro_priorities
wp_ajaxsearchpro_statistics
wp_ap_activity
wp_ap_activitymeta
wp_ap_meta
wp_ap_notifications
wp_ap_qameta
wp_ap_reputations
wp_ap_subscribers
wp_ap_views
wp_ap_votes
wp_asp_index
wp_commentmeta
wp_comments
wp_dynamic_widgets
wp_glossary_related
wp_hkb_analytics_search_atomic
wp_hkb_exits
wp_hkb_visits
wp_hkb_voting
wp_layerslider
wp_learndash_user_activity
wp_learndash_user_activity_meta
wp_learnpress_order_itemmeta
wp_learnpress_order_items
wp_learnpress_question_answers
wp_learnpress_quiz_questions
wp_learnpress_review_logs
wp_learnpress_sections
wp_learnpress_section_items
wp_learnpress_sessions
wp_learnpress_user_itemmeta
wp_learnpress_user_items
wp_links
wp_options
wp_postmeta
wp_posts
wp_quiz
wp_quiz_answers
wp_quiz_questions
wp_quiz_questions_stat
wp_quiz_statistic
wp_qwiz_textentry_suggestions
wp_revslider_css
wp_revslider_layer_animations
wp_revslider_settings
wp_revslider_sliders
wp_revslider_slides
wp_revslider_static_slides
wp_search_index
wp_termmeta
wp_terms
wp_term_relationships
wp_term_taxonomy
wp_ulp_campaigns
wp_ulp_campaign_items
wp_ulp_layers
wp_ulp_popups
wp_ulp_subscribers
wp_ulp_webfonts
wp_usermeta
wp_users
wp_usquare
wp_usquare_thmb
wp_vcht_users
wp_wp_pro_quiz_category
wp_wp_pro_quiz_form
wp_wp_pro_quiz_lock
wp_wp_pro_quiz_master
wp_wp_pro_quiz_prerequisite
wp_wp_pro_quiz_question
wp_wp_pro_quiz_statistic
wp_wp_pro_quiz_statistic_ref
wp_wp_pro_quiz_template
wp_wp_pro_quiz_toplist
wp_yoast_expiring_store
wp_yoast_indexable
wp_yoast_indexable_hierarchy
wp_yoast_migrations
wp_yoast_primary_term
wp_yoast_seo_links
wp_yoast_seo_meta
