page,title,issue,severity,count
"/","Home","manual_code_review_notice","medium","1"
"/examenstof/","Examenstof","manual_code_review_notice","medium","1"
"/examenstof/analyse-maatschappelijk-vraagstuk/","???? Analyse Maatschappelijk Vraagstuk","manual_code_review_notice","medium","2"
"/examenstof/criminaliteit-en-rechtsstaat/","Criminaliteit en Rechtsstaat","manual_code_review_notice","medium","2"
"/examenstof/politiekenbeleid/","Politiek en Beleid","manual_code_review_notice","medium","2"
"/home/","Home","manual_code_review_notice","medium","1"
